Q,A,label
최고였어,그러셨군요! 기분이 좋아보이세요,
좋았어,그러셨군요! 기분이 좋아보이세요,
별로였어,"저런, 왜 별로였을까요?",
그냥 그랬어,그러셨군요.,
짜증났어,무슨일이 있으셨길래.. 괜찮으신가요?,
힘들었어,무슨일이 있으셨길래.. 괜찮으신가요?,
힘들어,무슨일이 있으셨길래.. 괜찮으신가요?,
지쳐,무슨일이 있으셨길래.. 괜찮으신가요?,
괴로웠어,무슨일이 있으셨길래.. 괜찮으신가요?,
화나는 일이 있었어,무슨일인가요? 그럴땐 술로 감정을 달래보세요.,
행복한 일이 있었어,행복한 일이 있으셨군요! 술로 기념해요!,
좋은 일이 있었어,무엇인가요? 좋은 일은 술로 기념해야지요!,
기쁜 소식이 있어,무엇인가요? 좋은 일은 술로 기념해야지요!,
승진했어,축하드려요! 술로 기념합시다!,
합격했어,축하드려요! 술로 기념합시다!,
떨어졌어,저런.. 기분이 안좋아 보이세요,
행복했어,그러셨군요! 기분이 좋아보이세요,
단맛,오늘은 달콤한맛이 떠오르나 보군요.,
단거,오늘은 달콤한맛이 떠오르나 보군요.,
달달구리,오늘은 달콤한맛이 떠오르나 보군요.,
달달한거,오늘은 달콤한맛이 떠오르나 보군요.,
단거요,오늘은 달콤한맛이 떠오르나 보군요.,
단맛이요,오늘은 달콤한맛이 떠오르나 보군요.,
단거 먹고싶어,오늘은 달콤한맛이 떠오르나 보군요.,
단거 떙겨,오늘은 달콤한맛이 떠오르나 보군요.,
달달한거 먹고싶어,오늘은 달콤한맛이 떠오르나 보군요.,
달달한게 땡기네,오늘은 달콤한맛이 떠오르나 보군요.,
달달,오늘은 달콤한맛이 떠오르나 보군요.,
단거 좋아,오늘은 달콤한맛이 떠오르나 보군요.,
상큼한거,오늘은 상큼한맛이 떠오르나 보군요.,
새콤 달콤,오늘은 새콤달콤한 맛이 떠오르나 보군요.,
상큼한 맛,오늘은 상큼한맛이 떠오르나 보군요.,
시원한 맛,오늘은 시원한맛이 떠오르나 보군요.,
상큼한게 먹고싶어,오늘은 상큼한맛이 떠오르나 보군요.,
상큼한게 땡겨,오늘은 상큼한맛이 떠오르나 보군요.,
상큼한 과일,오늘은 상큼한맛이 떠오르나 보군요.,
과일맛,오늘은 상큼한맛이 떠오르나 보군요.,
과일,오늘은 상큼한맛이 떠오르나 보군요.,
시원 상큼,오늘은 상큼한맛이 떠오르나 보군요.,
쓴거,오늘은 쓴게 드시고 싶으시군요.,
쓴맛,오늘은 쓴게 드시고 싶으시군요.,
써,오늘은 쓴게 드시고 싶으시군요.,
써야해,오늘은 쓴게 드시고 싶으시군요.,
쓴맛이 땡겨,오늘은 쓴게 드시고 싶으시군요.,
쓴맛이 먹고싶어,오늘은 쓴게 드시고 싶으시군요.,
짠거,오늘은 짠게 드시고 싶으시군요.,
짠맛이 먹고싶어,오늘은 짠게 드시고 싶으시군요.,
소금,오늘은 짠게 드시고 싶으시군요.,
짠게 땡겨,오늘은 짠게 드시고 싶으시군요.,
짠거,오늘은 짠게 드시고 싶으시군요.,
신거,오늘은 신게 드시고 싶으시군요.,
신 맛,오늘은 신게 드시고 싶으시군요.,
짠 맛,오늘은 짠게 드시고 싶으시군요.,
시큼한거,오늘은 신게 드시고 싶으시군요.,
괜찮았어,그러시군요! 기분이 좋아보이세요,
별로,기분이 좋지 않으시군요. ,
완전 별로,기분이 좋지 않으시군요. ,
안괜찮았어,기분이 좋지 않으시군요. ,
안괜찮았어요,기분이 좋지 않으시군요. ,
괜찮았어요,그러시군요! 기분이 좋아보이세요,
슬펐어요,기분이 좋지 않으시군요. ,
힘들었어요,기분이 좋지 않으시군요. ,
짜증났어요,기분이 좋지 않으시군요. ,
별로였어요,기분이 좋지 않으시군요. ,
좋았지,기분이 좋으시군요! 다행입니다.,
완전 좋았지,기분이 좋으시군요! 다행입니다.,
별로였지,기분이 좋지 않으시군요. ,
최악이었지,기분이 좋지 않아 보이시군요. ,
상상초월,"헉, 무슨일이 있으셨는지 궁금하네요",
굿,기분이 좋으시군요! 다행입니다.,
good,기분이 좋으시군요! 다행입니다.,
best,기분이 좋으시군요! 다행입니다.,
아주 나이스,기분이 좋으시군요! 다행입니다.,
나이스,기분이 좋으시군요! 다행입니다.,
나이스해요,기분이 좋으시군요! 다행입니다.,
최고에요,기분이 좋으시군요! 다행입니다.,
최곱니다,기분이 좋으시군요! 다행입니다.,
최고입니다,기분이 좋으시군요! 다행입니다.,
좋습니다,기분이 좋으시군요! 다행입니다.,
아주 좋습니다,기분이 좋으시군요! 다행입니다.,
굿이에요,기분이 좋으시군요! 다행입니다.,
굿이야,기분이 좋으시군요! 다행입니다.,
별롭니다,저런.. 기분이 안좋아 보이세요,
짜증납니다,저런.. 기분이 안좋아 보이세요,
단맛이 땡기네요,오늘은 달콤한맛이 떠오르나 보군요.,
단맛이여,오늘은 달콤한맛이 떠오르나 보군요.,
좋아요,기분이 좋으시군요! 다행입니다.,
꿀꿀해요,저런.. 기분이 안좋아 보이세요,
기분이 좋아,기분이 좋으시군요! 다행입니다.,
기분이 꿀꿀해,저런.. 기분이 안좋아 보이세요,
기분이 좋아요,기분이 좋으시군요! 다행입니다.,
기분이 꿀꿀해요,저런.. 기분이 안좋아 보이세요,
꿀꿀합니다,저런.. 기분이 안좋아 보이세요,
아주 좋아,기분이 좋으시군요! 다행입니다.,
아주 좋아요,기분이 좋으시군요! 다행입니다.,
슬픕니다,저런.. 기분이 안좋아 보이세요,
슬픈일이 있었어요,저런.. 기분이 안좋아 보이세요,
짜증,무슨일이 있으셨길래.. 괜찮으신가요?,
완전 짜증,무슨일이 있으셨길래.. 괜찮으신가요?,
아주 짜증,무슨일이 있으셨길래.. 괜찮으신가요?,
너무 짜증,무슨일이 있으셨길래.. 괜찮으신가요?,
